confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Egri FC - Tiszafuredi VSE,NB III,12/08 12:00,Betano,2.57,3.4,2.35,0.352,0.260,0.388,2.5,1.55,2.15,,0.590,0.410,,1.5,2.2,1.47,,0.387,0.613,,,1.47,1.26,1.42,0.298,0.386,0.316,,1.88,1.72,,0.475,0.525,,,,,,,,
Csepel SC - ESMTK Budapest,NB III,12/08 12:30,Betano,4.5,3.65,1.62,0.189,0.239,0.573,2.5,1.6,2.07,,0.571,0.429,,1.5,2.25,1.45,,0.377,0.623,,,2.02,1.23,1.17,0.168,0.399,0.433,,3.2,1.26,,0.259,0.741,,,,,,,,
Budafoki MTE - PTE PEAC,NB III,12/08 12:30,Betano,1.5,4.2,4.9,0.623,0.205,0.172,3.5,2.02,1.62,,0.439,0.561,,1.5,2.02,1.57,,0.429,0.571,,,1.15,1.19,2.27,0.445,0.421,0.134,,1.21,3.55,,0.772,0.228,,,,,,,,
Dunaujvaros FC - Erdi Vse,NB III,12/08 12:30,Betano,2.7,3.25,2.3,0.333,0.272,0.395,2.5,1.7,1.93,,0.535,0.465,,1.5,2.4,1.4,,0.351,0.649,,,1.5,1.28,1.37,0.288,0.376,0.336,,1.95,1.67,,0.457,0.543,,,,,,,,
Papai Perutz FC - Veszprem FC,NB III,12/08 12:30,Betano,3.2,3.4,1.98,0.277,0.259,0.464,2.5,1.57,2.12,,0.583,0.417,,1.5,2.2,1.47,,0.387,0.613,,,1.67,1.26,1.28,0.239,0.386,0.376,,2.32,1.47,,0.375,0.625,,,,,,,,
Monori SE - Dabas FC,NB III,12/08 12:30,Betano,1.7,3.55,4.15,0.546,0.247,0.207,2.5,1.6,2.05,,0.569,0.431,,1.5,2.27,1.45,,0.375,0.625,,,1.19,1.24,1.93,0.422,0.395,0.183,,1.3,2.95,,0.715,0.285,,,,,,,,
Budaorsi - Ivancsa,NB III,12/08 12:30,Betano,2.72,3.45,2.22,0.332,0.256,0.412,3.5,2.2,1.53,,0.400,0.600,,1.5,2.12,1.52,,0.407,0.593,,,1.53,1.26,1.37,0.278,0.386,0.336,,2.0,1.65,,0.447,0.553,,,,,,,,
Dunaharaszti Munkas TK - Majosi,NB III,12/08 12:30,Betano,2.52,3.45,2.37,0.360,0.256,0.384,2.5,1.55,2.15,,0.590,0.410,,1.5,2.18,1.5,,0.396,0.604,,,1.47,1.26,1.42,0.298,0.386,0.316,,1.87,1.75,,0.482,0.518,,,,,,,,
Debreceni EAC - Tarpa SC,NB III,12/08 12:30,Betano,1.5,3.8,5.6,0.623,0.230,0.148,2.5,1.65,1.98,,0.551,0.449,,1.5,2.35,1.42,,0.361,0.639,,,1.12,1.21,2.27,0.461,0.406,0.133,,1.18,3.85,,0.794,0.206,,,,,,,,
FC Tatabanya - Bicskei TC,NB III,12/08 12:30,Betano,1.5,4.1,5.1,0.624,0.211,0.165,3.5,2.05,1.6,,0.431,0.569,,1.5,2.02,1.57,,0.429,0.571,,,1.14,1.19,2.3,0.450,0.419,0.130,,1.19,3.7,,0.785,0.215,,,,,,,,
BKV Elore - Gyulai Termal FC,NB III,12/08 12:30,Betano,13.5,5.4,1.17,0.046,0.150,0.804,3.5,1.95,1.67,,0.457,0.543,,1.5,1.95,1.62,,0.448,0.552,,,4.0,1.1,1.03,0.039,0.453,0.508,,7.0,1.03,,0.086,0.914,,,,,,,,
Sarisapi BSE - Haladas VSE,NB III,12/08 12:30,Betano,5.3,3.9,1.5,0.156,0.222,0.622,3.5,2.18,1.53,,0.403,0.597,,1.5,2.12,1.52,,0.407,0.593,,,2.25,1.2,1.14,0.136,0.414,0.450,,3.7,1.19,,0.215,0.785,,,,,,,,
Kiraly SZE - Dorogi FC,NB III,12/08 12:30,Betano,2.8,3.4,2.18,0.321,0.260,0.420,2.5,1.6,2.05,,0.569,0.431,,1.5,2.27,1.45,,0.375,0.625,,,1.55,1.26,1.35,0.271,0.385,0.343,,2.05,1.62,,0.435,0.565,,,,,,,,
Marbisu - Nongrah SC,Shillong Second Division,12/08 07:30,Betano,4.75,3.9,1.55,0.178,0.222,0.600,2.5,1.53,2.2,,0.600,0.400,,1.5,2.15,1.5,,0.399,0.601,,,2.15,1.21,1.16,0.149,0.410,0.440,,3.4,1.23,,0.241,0.759,,,,,,,,
29 de Setiembre - Sportivo San Lorenzo,Copa Paraguay,12/08 14:00,Betano,5.5,3.8,1.5,0.150,0.229,0.622,2.5,1.85,1.75,,0.485,0.515,,0.5,1.38,2.47,,0.660,0.340,,,2.27,1.21,1.13,0.134,0.409,0.458,,3.8,1.18,,0.208,0.792,,,,,,,,
Sportivo Iteno - Guarani Asuncion,Copa Paraguay,12/08 16:30,Betano,9.25,4.75,1.26,0.079,0.176,0.745,2.5,1.72,1.9,,0.528,0.472,,1.5,2.42,1.4,,0.349,0.651,,,2.82,1.14,1.06,0.081,0.431,0.488,,5.7,1.07,,0.120,0.880,,,,,,,,
Brandys nad Labem - FK Varnsdorf,Pohar FACR,12/08 12:00,Betano,5.4,4.6,1.42,0.154,0.186,0.660,3.5,1.9,1.72,,0.472,0.528,,1.5,1.95,1.62,,0.448,0.552,,,2.5,1.16,1.13,0.110,0.435,0.455,,3.95,1.17,,0.199,0.801,,,,,,,,
Horni Redice - MFk Chrudim,Pohar FACR,12/08 12:00,Betano,1.45,4.5,5.1,0.645,0.190,0.165,3.5,1.95,1.67,,0.457,0.543,,1.5,1.98,1.6,,0.440,0.560,,,1.14,1.16,2.4,0.447,0.434,0.119,,1.19,3.7,,0.785,0.215,,,,,,,,
FK Krimice - SK Dynamo Ceske Budejovice,Pohar FACR,12/08 12:00,Betano,4.15,4.15,1.6,0.209,0.209,0.583,3.5,2.0,1.65,,0.447,0.553,,1.5,2.0,1.6,,0.438,0.563,,,2.07,1.19,1.19,0.160,0.420,0.420,,3.1,1.27,,0.268,0.732,,,,,,,,
Trutnov - SK Benatky Nad Jizerou,Pohar FACR,12/08 12:00,Betano,4.9,3.9,1.55,0.173,0.224,0.603,3.5,2.2,1.52,,0.398,0.602,,1.5,2.12,1.52,,0.407,0.593,,,2.18,1.21,1.15,0.145,0.409,0.445,,3.5,1.22,,0.233,0.767,,,,,,,,
SK Senco Doubravka - Motorlet Praha,Pohar FACR,12/08 12:00,Betano,6.2,4.2,1.4,0.129,0.203,0.667,3.5,2.22,1.52,,0.396,0.604,,1.5,2.15,1.5,,0.399,0.601,,,2.52,1.18,1.11,0.108,0.423,0.468,,4.25,1.14,,0.179,0.821,,,,,,,,
SK Krumvir - Hanacka Slavia Kromeriz,Pohar FACR,12/08 12:00,Betano,5.8,4.5,1.4,0.141,0.190,0.669,3.5,2.18,1.53,,0.403,0.597,,1.5,2.12,1.52,,0.407,0.593,,,2.55,1.16,1.11,0.104,0.431,0.464,,4.15,1.15,,0.186,0.814,,,,,,,,
Bzenec - Hodonin,Pohar FACR,12/08 12:00,Betano,5.0,4.4,1.47,0.169,0.195,0.636,3.5,2.0,1.65,,0.447,0.553,,1.5,1.95,1.62,,0.448,0.552,,,2.35,1.17,1.15,0.125,0.431,0.444,,3.6,1.2,,0.222,0.778,,,,,,,,
Sokol Tasovice - Uhersky Brod,Pohar FACR,12/08 12:00,Betano,3.9,3.85,1.67,0.221,0.224,0.554,2.5,1.53,2.18,,0.597,0.403,,1.5,2.18,1.5,,0.396,0.604,,,1.95,1.21,1.21,0.179,0.410,0.410,,2.87,1.31,,0.293,0.707,,,,,,,,
Brumov FC - MFK Karvina,Pohar FACR,12/08 12:00,Betano,12.5,7.1,1.12,0.051,0.108,0.841,3.5,1.6,2.05,,0.569,0.431,,1.5,1.72,1.82,,0.516,0.484,,,3.75,1.06,1.03,0.042,0.467,0.491,,7.1,1.03,,0.085,0.915,,,,,,,,
FK Slavoj Cesky Krumlov - FK Kraluv Dvur,Pohar FACR,12/08 12:00,Betano,6.7,4.9,1.32,0.118,0.171,0.710,3.5,2.02,1.62,,0.439,0.561,,1.5,2.02,1.57,,0.429,0.571,,,2.85,1.14,1.09,0.083,0.441,0.476,,4.65,1.12,,0.161,0.839,,,,,,,,
AS USV Iasi - Cetatea Suceava,Copa,12/08 11:30,Betano,5.0,4.1,1.5,0.168,0.210,0.622,3.5,2.07,1.6,,0.429,0.571,,1.5,2.05,1.55,,0.421,0.579,,,2.25,1.19,1.15,0.136,0.420,0.444,,3.6,1.2,,0.222,0.778,,,,,,,,
Oltul Curtisoara - CSM Slatina,Copa,12/08 11:30,Betano,6.4,4.7,1.35,0.126,0.180,0.695,3.5,2.0,1.65,,0.447,0.553,,1.5,2.02,1.57,,0.429,0.571,,,2.72,1.15,1.1,0.092,0.437,0.471,,4.45,1.13,,0.170,0.830,,,,,,,,
Progresul Spartac - FC Metaloglobus Bucuresti,Copa,12/08 11:30,Betano,4.7,4.0,1.6,0.187,0.223,0.590,3.5,2.18,1.53,,0.403,0.597,,1.5,2.18,1.53,,0.403,0.597,,,2.3,1.21,1.17,0.136,0.420,0.444,,3.25,1.24,,0.251,0.749,,,1.55,2.15,,0.590,0.410,
Flacara Moreni - FC Chindia Targoviste,Copa,12/08 11:30,Betano,4.25,3.75,1.7,0.208,0.239,0.553,2.5,1.65,1.98,,0.551,0.449,,1.5,2.4,1.45,,0.364,0.636,,,2.1,1.23,1.2,0.162,0.410,0.427,,2.95,1.3,,0.285,0.715,,,1.65,2.0,,0.553,0.447,
CSO Baicoi - AFC Metalul Buzau,Copa,12/08 11:30,Betano,3.75,3.6,1.78,0.234,0.245,0.521,2.5,1.52,2.2,,0.602,0.398,,1.5,2.15,1.5,,0.399,0.601,,,1.85,1.24,1.23,0.200,0.398,0.403,,2.7,1.35,,0.315,0.685,,,,,,,,
Politehnica Timisoara - CSC Dumbravita,Copa,12/08 11:30,Betano,1.45,4.2,6.4,0.655,0.212,0.133,2.5,1.85,1.85,,0.500,0.500,,1.5,2.72,1.4,,0.327,0.673,,,1.12,1.2,2.72,0.476,0.425,0.099,,1.16,4.55,,0.821,0.179,,,2.05,1.7,,0.450,0.550,
ACS Cil Blaj - CS Sanatatea Cluj,Copa,12/08 11:30,Betano,3.2,3.3,2.02,0.277,0.268,0.455,2.5,1.75,1.87,,0.518,0.482,,1.5,2.45,1.39,,0.344,0.656,,,1.65,1.27,1.29,0.245,0.382,0.373,,2.32,1.47,,0.375,0.625,,,,,,,,
CSM Adjud 1946 - CS Sporting Liesti,Copa,12/08 11:30,Betano,4.85,3.95,1.53,0.173,0.219,0.608,2.5,1.67,1.95,,0.543,0.457,,1.5,2.35,1.42,,0.361,0.639,,,2.18,1.2,1.15,0.144,0.413,0.443,,3.45,1.22,,0.235,0.765,,,,,,,,
CS Tunari - CSL Stefanesti,Copa,12/08 11:30,Betano,1.7,3.75,4.3,0.554,0.239,0.206,2.5,1.7,1.91,,0.532,0.468,,1.5,2.37,1.45,,0.366,0.634,,,1.19,1.23,2.12,0.432,0.409,0.159,,1.29,3.0,,0.721,0.279,,,1.7,1.93,,0.535,0.465,
ACS Progresul Mogosoaia - CS Concordia Chiajna,Copa,12/08 11:30,Betano,4.2,3.5,1.78,0.212,0.259,0.529,2.5,1.72,1.88,,0.525,0.475,,1.5,2.47,1.42,,0.350,0.650,,,2.0,1.26,1.2,0.178,0.395,0.427,,2.9,1.31,,0.291,0.709,,,1.65,1.98,,0.551,0.449,
CS Crisul Santandrei - FC Bihor Oradea,Copa,12/08 11:30,Betano,4.9,4.0,1.57,0.177,0.222,0.601,2.5,1.53,2.2,,0.600,0.400,,1.5,2.22,1.52,,0.396,0.604,,,2.32,1.21,1.16,0.133,0.418,0.448,,3.4,1.23,,0.241,0.759,,,1.6,2.07,,0.571,0.429,
Agricola Borcea - FC Unirea 04 Slobozia,Copa,12/08 11:30,Betano,4.55,4.0,1.62,0.194,0.223,0.583,2.5,1.53,2.2,,0.600,0.400,,1.5,2.22,1.52,,0.396,0.604,,,2.25,1.21,1.17,0.141,0.418,0.441,,3.2,1.25,,0.256,0.744,,,1.57,2.12,,0.583,0.417,
CS Timisul Sag - CSM Resita,Copa,12/08 11:30,Betano,4.7,4.45,1.53,0.186,0.197,0.617,3.5,2.02,1.62,,0.439,0.561,,1.5,2.05,1.6,,0.431,0.569,,,2.42,1.18,1.17,0.123,0.436,0.442,,3.35,1.23,,0.243,0.757,,,1.52,2.2,,0.602,0.398,
Dunarea Giurgiu - Steaua Bucuresti,Copa,12/08 11:30,Betano,6.0,4.55,1.42,0.141,0.193,0.667,3.5,1.8,1.8,,0.500,0.500,,1.5,1.91,1.7,,0.468,0.532,,,2.77,1.17,1.12,0.093,0.437,0.470,,4.1,1.15,,0.187,0.813,,,1.45,2.37,,0.634,0.366,
SCM Zalau - CS Gloria Bistrita,Copa,12/08 11:30,Betano,3.5,3.3,2.0,0.258,0.275,0.467,2.5,1.82,1.8,,0.497,0.503,,0.5,1.39,2.55,,0.664,0.336,,,1.78,1.28,1.26,0.220,0.385,0.395,,2.42,1.44,,0.359,0.641,,,1.67,1.95,,0.543,0.457,
CSM Corona Brasov - ASC Olimpic Zarnesti,Copa,12/08 11:30,Betano,1.34,4.65,6.8,0.700,0.183,0.117,2.5,1.53,2.2,,0.600,0.400,,1.5,2.18,1.5,,0.396,0.604,,,1.09,1.15,2.77,0.477,0.436,0.088,,1.12,4.65,,0.839,0.161,,,,,,,,
CSM Targu Jiu - SCM Ramnicu Valcea,Copa,12/08 14:00,Betano,4.45,4.25,1.55,0.193,0.204,0.603,3.5,1.75,1.85,,0.515,0.485,,1.5,1.83,1.7,,0.479,0.521,,,2.18,1.18,1.17,0.144,0.425,0.431,,3.3,1.24,,0.248,0.752,,,,,,,,
Lucksta IF - Kubikenborgs IF,2.ª divisão,12/08 14:00,Betano,2.9,3.6,2.15,0.316,0.250,0.434,3.5,1.87,1.75,,0.482,0.518,,1.5,1.95,1.67,,0.457,0.543,,,1.67,1.25,1.35,0.246,0.401,0.353,,2.07,1.6,,0.429,0.571,,,1.33,2.8,,0.697,0.303,
IFK Lulea - Bodens BK,2.ª divisão,12/08 14:00,Betano,1.5,4.3,5.2,0.630,0.205,0.166,3.5,2.07,1.6,,0.429,0.571,,1.5,2.1,1.57,,0.420,0.580,,,1.15,1.19,2.5,0.455,0.430,0.115,,1.2,3.6,,0.778,0.222,,,1.55,2.15,,0.590,0.410,
Gottne IF - IFK Ostersund,2.ª divisão,12/08 14:00,Betano,2.55,3.65,2.37,0.362,0.247,0.391,3.5,1.91,1.7,,0.468,0.532,,1.5,2.0,1.65,,0.447,0.553,,,1.55,1.25,1.42,0.278,0.399,0.323,,1.87,1.75,,0.482,0.518,,,1.35,2.72,,0.687,0.313,
Taftea IK - Skelleftea FF,2.ª divisão,12/08 14:30,Betano,3.35,3.6,1.93,0.269,0.248,0.483,3.5,2.15,1.55,,0.410,0.590,,1.5,2.15,1.55,,0.410,0.590,,,1.82,1.25,1.27,0.211,0.400,0.389,,2.4,1.44,,0.361,0.639,,,1.45,2.37,,0.634,0.366,
