confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
FK Dainava Alytus - FK Babrungas,1. Lyga,08/08 12:00,Betano,2.67,3.35,2.3,0.338,0.263,0.399,2.5,1.87,1.75,,0.481,0.519,,0.5,1.38,2.47,,0.672,0.328,,,1.5,1.27,1.38,0.242,0.434,0.324,,1.95,1.67,,0.454,0.546,,,,,,,,
FK Silute - Viltis Vilnius,2. Lyga,08/08 07:00,Betano,1.4,4.75,5.3,0.681,0.169,0.149,3.5,1.67,1.95,,0.546,0.454,,1.5,1.78,1.75,,0.495,0.505,,,1.13,1.15,2.52,0.520,0.473,0.007,,1.17,3.85,,0.819,0.181,,,,,,,,
FK Sveikata Kybartai - Vilnius FA,2. Lyga,08/08 10:00,Betano,2.7,3.65,2.15,0.333,0.238,0.429,3.5,1.87,1.75,,0.481,0.519,,1.5,1.91,1.65,,0.456,0.544,,,1.57,1.24,1.37,0.203,0.468,0.329,,2.02,1.62,,0.435,0.565,,,,,,,,
Bregalnica Stip - FK Arsimi 1973,Prva Liga,08/08 14:00,Betano,2.22,3.4,2.75,0.414,0.259,0.327,2.5,1.72,1.88,,0.526,0.474,,1.5,2.42,1.39,,0.335,0.665,,,1.37,1.27,1.53,0.335,0.436,0.229,,1.65,2.0,,0.556,0.444,,,,,,,,
Ekhaya FC - Dedza Dynamos,Super Liga,08/08 09:30,Betano,1.53,3.35,6.2,0.618,0.255,0.127,1.5,1.47,2.32,,0.632,0.368,,0.5,1.52,2.12,,0.600,0.400,,,1.11,1.25,2.18,0.617,0.356,0.027,,1.16,4.0,,0.828,0.172,,,,,,,,
Moyale Barracks - Mighty Wanderers,Super Liga,08/08 09:30,Betano,5.3,3.25,1.62,0.153,0.266,0.581,2.5,2.25,1.5,,0.382,0.618,,0.5,1.5,2.15,,0.609,0.391,,,2.02,1.27,1.14,0.053,0.368,0.578,,3.5,1.22,,0.216,0.784,,,,,,,,
Creck Sporting - Silver Strikers,Super Liga,08/08 09:30,Betano,5.9,3.55,1.52,0.136,0.240,0.624,2.5,2.2,1.53,,0.394,0.606,,0.5,1.47,2.22,,0.624,0.376,,,2.22,1.23,1.12,0.025,0.383,0.592,,3.95,1.17,,0.179,0.821,,,,,,,,
Venados FC - CD Tapatio,Liga de Expansion MX,08/08 20:00,Betano,1.85,3.45,3.85,0.511,0.259,0.230,2.5,1.67,1.95,,0.546,0.454,,1.5,2.42,1.44,,0.351,0.649,,,1.22,1.26,1.91,0.481,0.427,0.092,,1.36,2.67,,0.692,0.308,,,1.6,2.07,,0.575,0.425,
FC Politehnica UTM Chisinau - FC Milsami,Divizia Nationala,08/08 12:00,Betano,2.57,3.45,2.3,0.351,0.253,0.397,2.5,1.7,1.91,,0.534,0.466,,1.5,2.4,1.4,,0.340,0.660,,,1.5,1.26,1.39,0.241,0.444,0.315,,1.9,1.72,,0.471,0.529,,,,,,,,
FK Buducnost Podgorica - FK Decic Tuzi,Prva liga,08/08 15:00,Betano,2.2,2.87,3.45,0.424,0.317,0.259,2.5,2.27,1.5,,0.380,0.620,,0.5,1.55,2.15,,0.596,0.404,,,1.27,1.35,1.65,0.448,0.365,0.186,,1.5,2.27,,0.620,0.380,,,1.93,1.7,,0.463,0.537,
ART Municipal Jalapa - H&H Export Sebaco FC,Primeira Divisão,08/08 19:00,Betano,2.3,3.15,2.95,0.404,0.287,0.308,2.5,1.87,1.75,,0.481,0.519,,0.5,1.42,2.47,,0.659,0.341,,,1.34,1.3,1.57,0.371,0.411,0.217,,1.62,2.02,,0.565,0.435,,,1.67,1.95,,0.546,0.454,
Diriangen FC - Rancho Santana FC,Primeira Divisão,08/08 21:00,Betano,1.2,6.2,10.75,0.811,0.123,0.066,3.5,1.8,1.8,,0.500,0.500,,1.5,1.91,1.7,,0.466,0.534,,,1.05,1.1,3.15,0.614,0.386,0.000,,1.05,6.2,,0.931,0.069,,,1.78,1.82,,0.507,0.493,
Vålerenga IF - FK Bodo/Glimt,Eliteserien,08/08 09:00,Betano,5.9,4.7,1.45,0.146,0.186,0.668,3.5,1.85,1.88,,0.504,0.496,,1.5,1.98,1.78,,0.471,0.529,,,2.8,1.18,1.15,0.009,0.466,0.525,,4.4,1.19,,0.182,0.818,,,1.47,2.52,,0.648,0.352,
Viking FK - Sarpsborg 08,Eliteserien,08/08 11:00,Betano,1.38,5.2,6.6,0.705,0.167,0.129,3.5,1.85,1.88,,0.504,0.496,,1.5,1.98,1.78,,0.471,0.529,,,1.13,1.16,3.15,0.532,0.465,0.003,,1.15,4.9,,0.848,0.152,,,1.53,2.32,,0.616,0.384,
