confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Rangers de Talca - Curico Unido,Liga de Ascenso,09/08 16:00,Betano,2.35,3.15,3.0,0.399,0.293,0.308,2.5,2.15,1.65,,0.430,0.570,,0.5,1.5,2.47,,0.631,0.369,,,1.4,1.33,1.6,0.346,0.376,0.277,,1.67,2.12,,0.564,0.436,,,1.87,1.85,,0.497,0.503,
Colchagua CD - Santiago City,Segunda División,09/08 17:00,Betano,1.82,3.6,3.85,0.517,0.251,0.233,2.5,1.78,1.82,,0.506,0.494,,1.5,2.57,1.38,,0.332,0.668,,,1.22,1.25,1.95,0.415,0.399,0.186,,1.35,2.7,,0.685,0.315,,,1.72,1.88,,0.525,0.475,
Trasandino - Deportes Linares,Segunda División,09/08 19:00,Betano,2.5,3.3,2.6,0.370,0.275,0.355,2.5,2.02,1.62,,0.439,0.561,,0.5,1.44,2.42,,0.641,0.359,,,1.47,1.29,1.5,0.312,0.387,0.301,,1.78,1.83,,0.508,0.492,,,1.82,1.78,,0.494,0.506,
Futuro FC - Municipal Puente Alto,Tercera A,09/08 16:30,Betano,2.1,3.3,3.2,0.443,0.274,0.283,2.5,1.7,1.91,,0.532,0.468,,1.5,2.47,1.42,,0.350,0.650,,,1.3,1.29,1.7,0.378,0.382,0.240,,1.52,2.22,,0.604,0.396,,,1.57,2.1,,0.580,0.420,
Alianza FC - Atletico Bucaramanga,Categoría Primera A,09/08 18:05,Betano,3.15,3.0,2.4,0.296,0.311,0.393,2.5,2.32,1.57,,0.397,0.603,,0.5,1.57,2.32,,0.603,0.397,,,1.6,1.37,1.38,0.280,0.362,0.358,,2.15,1.65,,0.430,0.570,,,1.93,1.78,,0.478,0.522,
Jaguares de Cordoba - Once Caldas,Categoría Primera A,09/08 20:10,Betano,4.05,3.2,1.95,0.225,0.289,0.486,2.5,2.02,1.75,,0.462,0.538,,0.5,1.47,2.55,,0.644,0.356,,,1.87,1.32,1.26,0.211,0.380,0.409,,2.8,1.4,,0.321,0.679,,,1.8,1.91,,0.516,0.484,
America de Cali - Atlético Nacional,Categoría Primera A,09/08 22:15,Betano,2.37,3.1,3.1,0.398,0.301,0.301,2.5,2.1,1.67,,0.439,0.561,,0.5,1.5,2.47,,0.631,0.369,,,1.39,1.35,1.6,0.352,0.369,0.279,,1.65,2.15,,0.570,0.430,,,1.8,1.9,,0.515,0.485,
AmaZulu Durban - Sekhukhune United,MTN 8,09/08 10:00,Betano,2.42,3.2,2.8,0.385,0.286,0.330,2.5,2.25,1.57,,0.404,0.596,,0.5,1.52,2.37,,0.618,0.382,,,1.44,1.31,1.55,0.328,0.383,0.290,,1.75,1.98,,0.533,0.467,,,1.98,1.75,,0.467,0.533,
Kaizer Chiefs - Golden Arrows FC,MTN 8,09/08 13:00,Betano,1.67,3.4,5.4,0.568,0.269,0.163,2.5,2.3,1.55,,0.395,0.605,,0.5,1.53,2.32,,0.611,0.389,,,1.16,1.28,2.2,0.458,0.390,0.152,,1.23,3.75,,0.773,0.227,,,2.2,1.6,,0.415,0.585,
FC Pyunik Yerevan - FC Van,Premier League,09/08 10:00,Betano,1.21,5.3,10.5,0.778,0.156,0.067,2.5,1.53,2.18,,0.597,0.403,,1.5,2.18,1.5,,0.396,0.604,,,1.05,1.11,3.6,0.498,0.452,0.050,,1.05,6.2,,0.896,0.104,,,,,,,,
FC Shirak Gyumri - FC Noah,Premier League,09/08 12:00,Betano,7.2,4.35,1.35,0.109,0.197,0.695,2.5,1.67,1.95,,0.543,0.457,,1.5,2.37,1.42,,0.359,0.641,,,2.72,1.17,1.08,0.091,0.424,0.485,,4.8,1.11,,0.154,0.846,,,,,,,,
SV Ried - Rapid Viena,Bundesliga,09/08 12:00,Betano,3.25,3.25,2.2,0.285,0.285,0.430,2.5,1.9,1.83,,0.490,0.510,,0.5,1.44,2.67,,0.660,0.340,,,1.7,1.32,1.36,0.252,0.383,0.365,,2.3,1.57,,0.399,0.601,,,1.7,2.05,,0.550,0.450,
Wolfsberger AC - Salzburg,Bundesliga,09/08 12:00,Betano,3.75,3.75,1.87,0.245,0.245,0.509,2.5,1.6,2.25,,0.590,0.410,,1.5,2.4,1.53,,0.382,0.618,,,1.95,1.26,1.29,0.196,0.410,0.394,,2.75,1.42,,0.330,0.670,,,1.55,2.32,,0.607,0.393,
Áustria Viena - Linzer ASK,Bundesliga,09/08 14:00,Betano,4.0,3.7,1.82,0.229,0.248,0.523,2.5,1.72,2.05,,0.547,0.453,,1.5,2.55,1.47,,0.356,0.644,,,2.02,1.26,1.26,0.183,0.408,0.408,,2.92,1.37,,0.306,0.694,,,1.65,2.1,,0.565,0.435,
SV Langenrohr - SC Wiener Neustadt,State Leagues,09/08 12:00,Betano,3.65,3.8,1.75,0.240,0.230,0.530,3.5,2.1,1.57,,0.420,0.580,,1.5,2.07,1.55,,0.419,0.581,,,1.87,1.22,1.24,0.195,0.408,0.397,,2.67,1.36,,0.320,0.680,,,,,,,,
Kottmannsdorf - SC Landskron,State Leagues,09/08 12:00,Betano,1.78,3.9,3.45,0.521,0.223,0.256,3.5,2.12,1.57,,0.417,0.583,,1.5,2.07,1.55,,0.419,0.581,,,1.26,1.21,1.83,0.385,0.412,0.202,,1.39,2.57,,0.665,0.335,,,,,,,,
SK Pama - SC Neusiedl AM See 1919,State Leagues,09/08 11:00,Betano,2.5,3.5,2.35,0.362,0.251,0.387,3.5,2.2,1.52,,0.398,0.602,,1.5,2.15,1.5,,0.399,0.601,,,1.47,1.25,1.42,0.296,0.389,0.314,,1.85,1.75,,0.485,0.515,,,,,,,,
SV Eberau - ASK Royal Sped Klingenbach,State Leagues,09/08 12:00,Betano,1.6,4.0,4.3,0.583,0.217,0.200,2.5,1.55,2.15,,0.590,0.410,,1.5,2.2,1.47,,0.387,0.613,,,1.18,1.2,2.07,0.426,0.414,0.159,,1.26,3.15,,0.738,0.262,,,,,,,,
Gent - KV Mechelen,1A Pro League,09/08 08:30,Betano,1.95,3.55,3.9,0.494,0.266,0.241,2.5,1.9,1.91,,0.501,0.499,,0.5,1.42,2.8,,0.674,0.326,,,1.28,1.28,1.88,0.396,0.396,0.207,,1.42,2.72,,0.668,0.332,,,1.75,2.0,,0.536,0.464,
Charleroi - Oud-Heverlee Leuven,1A Pro League,09/08 11:00,Betano,1.78,3.65,4.65,0.542,0.258,0.200,2.5,1.98,1.85,,0.482,0.518,,0.5,1.44,2.72,,0.663,0.337,,,1.22,1.27,2.07,0.427,0.400,0.173,,1.32,3.2,,0.723,0.277,,,1.85,1.88,,0.504,0.496,
SV Zulte Waregem - Genk,1A Pro League,09/08 11:00,Betano,3.2,3.6,2.18,0.297,0.262,0.441,2.5,1.75,2.1,,0.548,0.452,,1.5,2.6,1.47,,0.352,0.648,,,1.72,1.28,1.37,0.244,0.399,0.357,,2.3,1.57,,0.399,0.601,,,1.6,2.25,,0.590,0.410,
RSC Anderlecht - Raal La Louviere,1A Pro League,09/08 13:30,Betano,1.75,3.75,4.75,0.553,0.251,0.196,2.5,1.98,1.85,,0.482,0.518,,0.5,1.44,2.72,,0.663,0.337,,,1.21,1.26,2.12,0.431,0.404,0.165,,1.31,3.3,,0.730,0.270,,,1.88,1.87,,0.499,0.501,
Antuérpia - KV RS Waasland Beveren,1A Pro League,09/08 14:15,Betano,1.95,3.45,4.05,0.494,0.274,0.232,2.5,2.1,1.75,,0.452,0.548,,0.5,1.47,2.6,,0.648,0.352,,,1.26,1.3,1.88,0.406,0.386,0.207,,1.4,2.8,,0.679,0.321,,,1.88,1.85,,0.496,0.504,
Oriente Petrolero - Universitario de Vinto,Division Profesional,09/08 20:30,Betano,1.7,4.0,4.05,0.555,0.224,0.221,2.5,1.52,2.22,,0.604,0.396,,1.5,2.2,1.52,,0.398,0.602,,,1.21,1.21,2.12,0.420,0.420,0.159,,1.31,2.9,,0.709,0.291,,,1.55,2.15,,0.590,0.410,
Club San Jose - Always Ready,Division Profesional,09/08 16:00,Betano,3.95,4.1,1.7,0.227,0.218,0.555,3.5,1.93,1.7,,0.465,0.535,,1.5,2.0,1.65,,0.447,0.553,,,2.1,1.21,1.22,0.163,0.422,0.416,,2.85,1.32,,0.297,0.703,,,1.42,2.45,,0.648,0.352,
Club Real Potosi - Blooming Santa Cruz,Division Profesional,09/08 18:15,Betano,1.72,3.6,4.3,0.546,0.249,0.205,2.5,1.7,1.93,,0.535,0.465,,1.5,2.47,1.42,,0.350,0.650,,,1.19,1.24,2.05,0.430,0.402,0.168,,1.3,2.95,,0.715,0.285,,,1.67,1.95,,0.543,0.457,
Borac Banja Luka - FK Velez Mostar,Premijer Liga,09/08 13:30,Betano,1.36,4.4,7.9,0.698,0.200,0.102,2.5,1.82,1.78,,0.494,0.506,,0.5,1.38,2.6,,0.670,0.330,,,1.08,1.17,3.05,0.493,0.432,0.075,,1.11,4.85,,0.847,0.153,,,2.15,1.55,,0.410,0.590,
Zrinjski Mostar - NK Celik Zenica,Premijer Liga,09/08 16:00,Betano,1.29,4.8,9.5,0.737,0.181,0.082,2.5,1.78,1.82,,0.506,0.494,,1.5,2.57,1.39,,0.335,0.665,,,1.06,1.15,3.5,0.505,0.440,0.056,,1.07,5.6,,0.878,0.122,,,2.32,1.47,,0.375,0.625,
PFC Cherno More Varna - Ludogorets,Parva Liga,09/08 13:00,Betano,5.0,3.45,1.7,0.177,0.265,0.558,2.5,1.98,1.78,,0.472,0.528,,0.5,1.45,2.62,,0.654,0.346,,,2.18,1.28,1.19,0.158,0.396,0.446,,3.55,1.27,,0.247,0.753,,,1.9,1.82,,0.488,0.512,
PFC Septemvri Sofia - PFC CSKA Sofia,Parva Liga,09/08 15:15,Betano,6.6,4.05,1.47,0.129,0.223,0.648,2.5,1.87,1.87,,0.500,0.500,,0.5,1.42,2.75,,0.670,0.330,,,2.72,1.22,1.12,0.100,0.418,0.481,,4.75,1.16,,0.174,0.826,,,2.02,1.72,,0.457,0.543,
Sportist Svoge - FC Pirin Blagoevgrad,Vtora Liga,09/08 12:00,Betano,1.5,3.75,5.6,0.621,0.232,0.147,2.5,1.91,1.7,,0.468,0.532,,0.5,1.4,2.42,,0.651,0.349,,,1.12,1.21,2.27,0.461,0.406,0.133,,1.18,3.85,,0.794,0.206,,,,,,,,
Rilski Sportist Samokov - PFC Spartak Pleven,Vtora Liga,09/08 12:00,Betano,1.88,3.2,3.7,0.489,0.276,0.235,2.5,2.22,1.52,,0.396,0.604,,0.5,1.47,2.2,,0.613,0.387,,,1.23,1.28,1.75,0.403,0.377,0.220,,1.38,2.6,,0.670,0.330,,,,,,,,
Vihren Sandanski - FC Chernomorets 1919 Burgas,Vtora Liga,09/08 12:00,Betano,1.75,3.35,4.2,0.530,0.264,0.206,2.5,1.95,1.67,,0.457,0.543,,0.5,1.42,2.37,,0.641,0.359,,,1.19,1.26,1.88,0.423,0.385,0.192,,1.3,2.92,,0.713,0.287,,,,,,,,
OFC Lokomotiv Gorna Oryahovitsa - FK Fratria,Vtora Liga,09/08 14:00,Betano,3.8,3.35,1.83,0.230,0.264,0.506,2.5,2.07,1.6,,0.429,0.571,,0.5,1.44,2.3,,0.630,0.370,,,1.78,1.27,1.22,0.213,0.381,0.407,,2.65,1.36,,0.321,0.679,,,,,,,,
FC Astana - FC Okzhetpes Kokshetau,Premier League,09/08 10:00,Betano,1.53,4.15,5.1,0.617,0.213,0.170,3.5,2.2,1.53,,0.400,0.600,,1.5,2.18,1.53,,0.403,0.597,,,1.15,1.2,2.42,0.454,0.423,0.123,,1.21,3.5,,0.770,0.230,,,1.6,2.07,,0.571,0.429,
Elimai - FC Irtysh Pavlodar,Premier League,09/08 11:00,Betano,1.78,3.5,4.2,0.529,0.259,0.212,2.5,1.78,1.82,,0.506,0.494,,1.5,2.57,1.38,,0.332,0.668,,,1.2,1.26,2.0,0.427,0.395,0.178,,1.31,2.87,,0.707,0.293,,,1.72,1.9,,0.528,0.472,
FK Atyrau - FK Aktobe,Premier League,09/08 12:00,Betano,3.15,3.1,2.22,0.288,0.293,0.418,2.5,2.02,1.62,,0.439,0.561,,0.5,1.47,2.35,,0.627,0.373,,,1.62,1.31,1.31,0.259,0.371,0.371,,2.15,1.55,,0.410,0.590,,,1.8,1.8,,0.500,0.500,
Chongqing Tonglianglong - Shanghai Port,Super Liga,09/08 08:35,Betano,3.15,3.25,2.2,0.292,0.282,0.426,2.5,1.75,1.98,,0.533,0.467,,1.5,2.57,1.44,,0.347,0.653,,,1.67,1.31,1.36,0.256,0.383,0.361,,2.25,1.57,,0.404,0.596,,,1.6,2.22,,0.587,0.413,
Shandong Taishan - Tianjin Jinmen Tiger,Super Liga,09/08 09:00,Betano,2.15,3.6,2.95,0.436,0.252,0.312,3.5,2.18,1.6,,0.417,0.583,,1.5,2.22,1.6,,0.413,0.587,,,1.4,1.27,1.7,0.346,0.405,0.250,,1.62,2.18,,0.579,0.421,,,1.44,2.6,,0.655,0.345,
Guangdong GZ-Power FC - Guangxi Hengchen,1.ºLiga,09/08 08:30,Betano,1.98,3.4,3.45,0.472,0.266,0.262,2.5,1.72,1.88,,0.525,0.475,,1.5,2.5,1.4,,0.343,0.657,,,1.27,1.27,1.78,0.390,0.390,0.220,,1.45,2.4,,0.636,0.364,,,1.62,2.02,,0.561,0.439,
Guangdong Mingtu - Wenzhou Professional FC,2.º Liga,09/08 08:30,Betano,1.91,2.95,4.05,0.483,0.303,0.214,2.5,2.32,1.47,,0.375,0.625,,0.5,1.52,2.12,,0.593,0.407,,,1.2,1.32,1.72,0.418,0.356,0.226,,1.35,2.7,,0.685,0.315,,,,,,,,
Hangzhou Linping Wuyue - Guizhou Zhicheng FC,2.º Liga,09/08 08:30,Betano,4.5,2.92,1.83,0.189,0.306,0.505,2.5,2.32,1.47,,0.375,0.625,,0.5,1.53,2.1,,0.589,0.411,,,1.78,1.32,1.18,0.213,0.357,0.430,,2.95,1.3,,0.285,0.715,,,,,,,,
Nantong Haimen Codion - Qingdao Red Lions,2.º Liga,09/08 08:30,Betano,2.07,2.92,3.5,0.443,0.306,0.251,2.5,2.32,1.47,,0.375,0.625,,0.5,1.52,2.12,,0.593,0.407,,,1.25,1.33,1.6,0.391,0.352,0.257,,1.45,2.37,,0.634,0.366,,,,,,,,
CS Herediano - Liga Deportiva Alajuelense,Liga FPD,09/08 21:00,Betano,2.42,3.0,3.0,0.386,0.307,0.307,2.5,2.3,1.55,,0.395,0.605,,0.5,1.55,2.32,,0.607,0.393,,,1.39,1.34,1.55,0.345,0.367,0.288,,1.67,2.07,,0.558,0.442,,,1.95,1.75,,0.471,0.529,
Inter San Carlos - AD San Carlos,Liga FPD,09/08 18:00,Betano,2.25,3.25,3.05,0.416,0.282,0.302,2.5,1.91,1.8,,0.484,0.516,,0.5,1.44,2.62,,0.656,0.344,,,1.38,1.31,1.62,0.350,0.382,0.268,,1.62,2.15,,0.576,0.424,,,1.72,2.02,,0.543,0.457,
ADR Jicaral - AD Sarchi,Liga de Ascenso,09/08 16:00,Betano,1.44,4.25,5.6,0.650,0.202,0.148,2.5,1.55,2.15,,0.590,0.410,,1.5,2.2,1.47,,0.387,0.613,,,1.12,1.18,2.42,0.461,0.422,0.117,,1.17,3.95,,0.801,0.199,,,,,,,,
NK Slaven Belupo Koprivnica - NK Varazdin,HNL,09/08 13:30,Betano,2.55,3.2,2.75,0.369,0.290,0.341,2.5,1.9,1.85,,0.493,0.507,,1.5,2.6,1.45,,0.347,0.653,,,1.47,1.33,1.53,0.321,0.378,0.301,,1.8,1.95,,0.521,0.479,,,1.67,2.07,,0.558,0.442,
Hajduk Split - NK Istra 1961,HNL,09/08 16:00,Betano,1.45,4.45,6.4,0.660,0.203,0.136,2.5,1.65,2.15,,0.570,0.430,,1.5,2.42,1.52,,0.378,0.622,,,1.13,1.19,2.82,0.473,0.434,0.093,,1.17,4.7,,0.821,0.179,,,1.8,1.9,,0.515,0.485,
Randers FC - Lyngby BK,Superligaen,09/08 11:00,Betano,2.32,3.55,2.95,0.413,0.265,0.322,2.5,1.72,2.15,,0.558,0.442,,1.5,2.55,1.5,,0.363,0.637,,,1.42,1.29,1.62,0.337,0.393,0.270,,1.67,2.1,,0.561,0.439,,,1.57,2.32,,0.603,0.397,
AC Horsens - Brøndby IF,Superligaen,09/08 13:00,Betano,5.5,3.95,1.62,0.167,0.237,0.596,2.5,1.88,1.93,,0.507,0.493,,1.5,2.8,1.42,,0.326,0.674,,,2.32,1.24,1.17,0.138,0.411,0.451,,3.8,1.24,,0.228,0.772,,,1.87,1.87,,0.500,0.500,
Aalborg BK - Kolding IF,1. division,09/08 09:00,Betano,2.0,3.55,3.45,0.474,0.259,0.267,2.5,1.72,2.05,,0.547,0.453,,1.5,2.57,1.47,,0.354,0.646,,,1.32,1.28,1.83,0.380,0.400,0.220,,1.5,2.5,,0.633,0.367,,,1.62,2.18,,0.579,0.421,
Vejle Boldklub - Hillerød Fodbold,1. division,09/08 09:00,Betano,1.6,4.05,5.1,0.598,0.226,0.176,2.5,1.67,2.12,,0.564,0.436,,1.5,2.47,1.5,,0.369,0.631,,,1.18,1.23,2.4,0.449,0.420,0.131,,1.25,3.75,,0.767,0.233,,,1.7,2.02,,0.547,0.453,
FC Fredericia - Vendsyssel FF,1. division,09/08 10:00,Betano,1.67,4.05,4.55,0.573,0.227,0.200,2.5,1.65,2.15,,0.570,0.430,,1.5,2.47,1.5,,0.369,0.631,,,1.22,1.23,2.25,0.428,0.422,0.149,,1.29,3.35,,0.738,0.262,,,1.67,2.07,,0.558,0.442,
Promex Harlem SC - Bath Estate FC,Premier League,09/08 19:30,Betano,2.1,3.65,2.8,0.438,0.241,0.322,3.5,2.0,1.65,,0.447,0.553,,1.5,2.02,1.57,,0.429,0.571,,,1.35,1.24,1.6,0.345,0.397,0.258,,1.6,2.07,,0.571,0.429,,,,,,,,
Portsmouth Bombers FC - Dublanc FC,Premier League,09/08 19:30,Betano,14.0,8.25,1.09,0.044,0.090,0.867,4.5,1.83,1.78,,0.492,0.508,,1.5,1.55,2.07,,0.581,0.419,,,4.0,1.05,1.025,0.036,0.471,0.492,,7.5,1.025,,0.079,0.921,,,,,,,,
Delfin SC - Orense,Liga Pro Serie A,09/08 18:00,Betano,2.52,3.05,2.9,0.373,0.305,0.322,2.5,2.45,1.52,,0.375,0.625,,0.5,1.57,2.3,,0.601,0.399,,,1.42,1.36,1.53,0.338,0.363,0.299,,1.75,2.0,,0.536,0.464,,,2.05,1.7,,0.450,0.550,
Guayaquil City FC - CS Emelec,Liga Pro Serie A,09/08 21:00,Betano,2.82,3.0,2.6,0.330,0.310,0.360,1.5,1.52,2.45,,0.625,0.375,,0.5,1.6,2.27,,0.592,0.408,,,1.52,1.36,1.45,0.305,0.366,0.329,,1.95,1.8,,0.479,0.521,,,2.07,1.67,,0.442,0.558,
Motherwell FC - Falkirk,Premiership,09/08 11:00,Betano,1.85,3.75,4.15,0.522,0.252,0.226,2.5,1.72,2.12,,0.555,0.445,,1.5,2.57,1.5,,0.361,0.639,,,1.25,1.26,2.0,0.410,0.405,0.185,,1.37,2.95,,0.695,0.305,,,1.65,2.15,,0.570,0.430,
Hearts - Dundee United FC,Premiership,09/08 11:00,Betano,1.7,4.0,4.7,0.568,0.234,0.197,2.5,1.7,2.18,,0.565,0.435,,1.5,2.52,1.5,,0.365,0.635,,,1.21,1.24,2.2,0.431,0.414,0.154,,1.3,3.35,,0.735,0.265,,,1.67,2.12,,0.564,0.436,
MSK Zilina - MFK Skalica,Superliga,09/08 12:00,Betano,1.65,3.9,4.9,0.580,0.236,0.184,2.5,1.78,1.98,,0.528,0.472,,1.5,2.65,1.45,,0.344,0.656,,,1.19,1.24,2.3,0.443,0.415,0.142,,1.26,3.6,,0.758,0.242,,,1.78,1.93,,0.522,0.478,
MSK Tesla Stropkov - Lokomotiva Kosice,3. Liga,09/08 12:00,Betano,1.7,3.65,4.0,0.545,0.239,0.216,3.5,2.18,1.53,,0.403,0.597,,1.5,2.12,1.52,,0.407,0.593,,,1.2,1.23,1.93,0.417,0.400,0.183,,1.31,2.9,,0.709,0.291,,,,,,,,
Podkonice - FK Cadca,3. Liga,09/08 12:00,Betano,1.9,3.55,3.3,0.485,0.247,0.268,3.5,2.18,1.53,,0.403,0.597,,1.5,2.12,1.52,,0.407,0.593,,,1.27,1.25,1.72,0.381,0.392,0.227,,1.44,2.42,,0.641,0.359,,,,,,,,
Banik Kalinovo - MFk Dolny Kubin,3. Liga,09/08 12:00,Betano,1.55,3.95,4.75,0.602,0.220,0.178,3.5,2.1,1.57,,0.420,0.580,,1.5,2.07,1.55,,0.419,0.581,,,1.16,1.2,2.18,0.439,0.415,0.145,,1.22,3.4,,0.763,0.237,,,,,,,,
Aluminij - Nafta Lendava,PrvaLiga,09/08 12:30,Betano,2.35,3.35,2.82,0.398,0.273,0.328,2.5,1.7,2.02,,0.547,0.453,,1.5,2.52,1.47,,0.358,0.642,,,1.42,1.29,1.6,0.335,0.391,0.274,,1.7,2.02,,0.547,0.453,,,1.57,2.25,,0.596,0.404,
NK Maribor - FC Koper,PrvaLiga,09/08 15:15,Betano,1.83,3.7,3.8,0.516,0.245,0.238,2.5,1.62,2.18,,0.579,0.421,,1.5,2.37,1.52,,0.382,0.618,,,1.27,1.25,1.95,0.399,0.409,0.192,,1.39,2.75,,0.678,0.322,,,1.57,2.25,,0.596,0.404,
NK Bravo - Brinje-Grosuplje,PrvaLiga,09/08 15:15,Betano,1.82,3.5,4.1,0.519,0.261,0.220,2.5,1.82,1.88,,0.509,0.491,,1.5,2.67,1.42,,0.335,0.665,,,1.24,1.27,1.98,0.414,0.399,0.187,,1.35,2.92,,0.699,0.301,,,1.72,2.0,,0.541,0.459,
Ilirija Ljubljana - Dravinja,2.SNL,09/08 12:30,Betano,2.27,3.25,2.92,0.409,0.279,0.313,2.5,1.85,1.75,,0.485,0.515,,0.5,1.4,2.52,,0.659,0.341,,,1.34,1.3,1.6,0.358,0.376,0.266,,1.62,2.02,,0.561,0.439,,,1.67,1.95,,0.543,0.457,
FC Levadia Tallin - FC Nomme United,Premium Liiga,09/08 13:00,Betano,1.2,6.1,9.0,0.785,0.133,0.082,3.5,1.6,2.07,,0.571,0.429,,1.5,1.72,1.83,,0.517,0.483,,,1.06,1.09,3.15,0.480,0.457,0.063,,1.07,5.8,,0.881,0.119,,,,,,,,
Vikingur Gota - Toftir B68,Meistaradeildin,09/08 11:00,Betano,1.29,4.9,7.6,0.728,0.171,0.101,3.5,2.02,1.62,,0.439,0.561,,1.5,2.02,1.57,,0.429,0.571,,,1.08,1.13,3.05,0.482,0.446,0.072,,1.09,5.1,,0.861,0.139,,,,,,,,
Kuopio PS - TPS,Veikkausliiga,09/08 09:00,Betano,1.57,4.2,5.1,0.608,0.216,0.175,2.5,1.62,2.22,,0.583,0.417,,1.5,2.4,1.53,,0.382,0.618,,,1.18,1.22,2.45,0.449,0.425,0.126,,1.24,3.75,,0.770,0.230,,,1.67,2.07,,0.558,0.442,
FC Inter Turku - FC Lahti,Veikkausliiga,09/08 11:00,Betano,2.0,3.3,3.75,0.474,0.281,0.245,2.5,1.93,1.8,,0.481,0.519,,0.5,1.44,2.65,,0.659,0.341,,,1.29,1.31,1.83,0.395,0.385,0.220,,1.45,2.62,,0.654,0.346,,,1.75,1.98,,0.533,0.467,
FC Ilves - IFK Mariehamn,Veikkausliiga,09/08 12:00,Betano,1.32,5.3,7.9,0.726,0.167,0.107,3.5,2.12,1.67,,0.436,0.564,,1.5,2.15,1.65,,0.430,0.570,,,1.1,1.15,3.45,0.487,0.452,0.061,,1.12,5.7,,0.859,0.141,,,1.75,1.95,,0.529,0.471,
AC Oulu - HJK Helsinki,Veikkausliiga,09/08 13:00,Betano,3.35,3.55,2.05,0.277,0.260,0.463,2.5,1.67,2.12,,0.564,0.436,,1.5,2.47,1.5,,0.369,0.631,,,1.8,1.28,1.35,0.228,0.402,0.369,,2.42,1.52,,0.378,0.622,,,1.57,2.27,,0.598,0.402,
Klubi 04 Helsinki - FC KTP Kotka,Ykkosliiga,09/08 09:00,Betano,4.7,4.5,1.53,0.186,0.196,0.618,3.5,1.9,1.72,,0.472,0.528,,1.5,1.98,1.65,,0.449,0.551,,,2.45,1.18,1.17,0.120,0.437,0.443,,3.35,1.23,,0.243,0.757,,,1.47,2.32,,0.625,0.375,
Sporting Kristina - VPV,Kolmonen,09/08 09:00,Betano,1.83,4.1,3.15,0.506,0.211,0.283,3.5,1.67,1.95,,0.543,0.457,,1.5,1.78,1.75,,0.495,0.505,,,1.29,1.2,1.78,0.370,0.417,0.212,,1.45,2.4,,0.636,0.364,,,,,,,,
KPV Kokkola - VJS,Ykkonen,09/08 10:00,Betano,5.6,4.65,1.39,0.146,0.181,0.672,3.5,1.78,1.83,,0.508,0.492,,1.5,1.85,1.7,,0.476,0.524,,,2.55,1.15,1.12,0.104,0.438,0.458,,4.05,1.16,,0.192,0.808,,,,,,,,
FC Jazz - OLS Oulu,Ykkonen,09/08 12:30,Betano,2.72,3.7,2.12,0.331,0.236,0.432,3.5,1.83,1.78,,0.492,0.508,,1.5,1.9,1.65,,0.460,0.540,,,1.57,1.24,1.37,0.267,0.397,0.336,,2.05,1.62,,0.435,0.565,,,,,,,,
Baglan Dragons - Swansea University FC,Cymru Championship South,09/08 10:30,Betano,2.4,3.55,2.42,0.378,0.247,0.375,2.5,1.55,2.15,,0.590,0.410,,1.5,2.18,1.5,,0.396,0.604,,,1.45,1.25,1.47,0.307,0.393,0.300,,1.8,1.82,,0.503,0.497,,,,,,,,
Meshakhte Tkibuli - FC Samgurali Tskaltubo,Erovnuli Liga,09/08 10:00,Betano,4.25,3.4,1.72,0.202,0.259,0.539,2.5,1.82,1.8,,0.497,0.503,,0.5,1.38,2.47,,0.660,0.340,,,1.9,1.26,1.19,0.190,0.386,0.424,,2.95,1.3,,0.285,0.715,,,,,,,,
FC Spaeri - FC Dinamo Tbilisi,Erovnuli Liga,09/08 13:00,Betano,3.45,3.35,1.91,0.255,0.263,0.482,2.5,1.7,1.93,,0.535,0.465,,1.5,2.4,1.4,,0.351,0.649,,,1.72,1.26,1.26,0.227,0.387,0.387,,2.47,1.42,,0.350,0.650,,,,,,,,
CSD Municipal - Coban Imperial,Liga Nacional,09/08 20:00,Betano,1.4,4.25,7.3,0.678,0.209,0.113,2.5,1.88,1.72,,0.475,0.525,,0.5,1.4,2.55,,0.661,0.339,,,1.09,1.18,2.87,0.487,0.427,0.085,,1.12,4.6,,0.838,0.162,,,2.18,1.53,,0.403,0.597,
San Pedro La Laguna FC - CD Suchitepéquez,Liga Nacional,09/08 18:00,Betano,1.72,3.4,4.6,0.546,0.265,0.190,2.5,2.15,1.55,,0.410,0.590,,0.5,1.47,2.32,,0.625,0.375,,,1.17,1.27,2.05,0.443,0.388,0.169,,1.27,3.1,,0.732,0.268,,,2.05,1.6,,0.431,0.569,
